"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"377","377","Ипозембанк","3026","отозв.","24.11.2015","Самара"
"378","378","Связной Банк","1961","отозв.","24.11.2015","Москва"
"379","379","Максимум","466","отозв.","23.11.2015","Волгодонск"
"380","380","Банк Город","2644","отозв.","16.11.2015","Москва"
"381","381","Витязь","2890","отозв.","16.11.2015","Москва"
"382","382","НСТ-Банк","1738","отозв.","16.11.2015","Новотроицк"
"383","383","Региональный Банк Развития","2782","отозв.","10.11.2015","Москва"
"384","384","Региональный Банк Сбережений","3367","отозв.","10.11.2015","Москва"
"385","385","Межрегионбанк","1059","отозв.","10.11.2015","Москва"
"386","386","Банк РСБ 24 (Русславбанк)","1073","отозв.","10.11.2015","Москва"
"387","387","Тор Кредит","3497-Д","отозв.","10.11.2015","Москва"
"388","388","Богородский Муниципальный Банк","2992","отозв.","02.11.2015","Ногинск"
"389","389","Агроинкомбанк","1946","отозв.","02.11.2015","Астрахань"
"390","390","Джаст Банк","3503","отозв.","02.11.2015","Москва"
"391","391","Бенифит-Банк","3229","отозв.","02.11.2015","Москва"
"392","392","Инвесткапиталбанк","2377","ликв.","26.10.2015","Уфа"
"393","393","Гринфилдбанк","2711","отозв.","23.10.2015","Москва"
"394","394","Еврокоммерц","1777","отозв.","23.10.2015","Москва"
"395","395","Дорис Банк","1679","отозв.","23.10.2015","Москва"
"396","396","Содружество","2923","отозв.","16.10.2015","Москва"
"397","397","Лада-Кредит","2668","отозв.","16.10.2015","Москва"
"398","398","Леноблбанк","1003","отозв.","16.10.2015","Всеволожск"
"399","399","Объединенный Национальный Банк","2074","отозв.","06.10.2015","Нижний Новгород"
"400","400","Лесбанк","1598","отозв.","06.10.2015","Москва"
"401","401","Объединенный Национальный Банк","2074","отозв.","06.10.2015","Нижний Новгород"
"402","402","Анталбанк","3115","отозв.","24.09.2015","Москва"
"403","403","Зернобанк","2337","отозв.","24.09.2015","Барнаул"
"404","404","Тусар","2712","отозв.","18.09.2015","Москва"
"405","405","Адмиралтейский","3054","отозв.","11.09.2015","Москва"
"406","406","Смолевич","1121","отозв.","08.09.2015","Рославль"
"407","407","Профит Банк","3234","отозв.","08.09.2015","Москва"
"408","408","Нерюнгрибанк","825","ликв.","04.09.2015","Нерюнгри"
"409","409","Евромет","2902","отозв.","27.08.2015","Москва"
"410","410","Бизнес для Бизнеса","1060","отозв.","27.08.2015","Ядрин"
"411","411","МГБ","2866-К","отозв.","21.08.2015","Махачкала"
"412","412","Далта-Банк","142","отозв.","21.08.2015","Владивосток"
"413","413","Пробизнесбанк","2412","отозв.","12.08.2015","Москва"
"414","414","Зеленокумская","1239-Д","ликв.","03.08.2015","Зеленокумск"
"415","415","Далетбанк","3049","отозв.","03.08.2015","Москва"
"416","416","Банк Расчетов и Сбережений","2617","отозв.","03.08.2015","Москва"
"417","417","Финансово-Расчетный Центр","3319-Р","отозв.","03.08.2015","Астрахань"
"418","418","Тульский Промышленник","2382","отозв.","27.07.2015","Тула"
"419","419","Российский Кредит","324","отозв.","24.07.2015","Москва"
"420","420","Мосстройэкономбанк (М Банк)","948","отозв.","24.07.2015","Москва"
"421","421","АМБ Банк","3036","отозв.","24.07.2015","Москва"
"422","422","Агентство Кредитных Гарантий","3526-Д","ликв.","23.07.2015","Москва"
"423","423","Объединенный Банк Промышленных Инвестиций","2626","отозв.","21.07.2015","Москва"
"424","424","Тайм Банк","3120","отозв.","21.07.2015","Москва"
"425","425","Геленджик-Банк","790","отозв.","17.07.2015","Геленджик"
"426","426","Аделантбанк","1835","отозв.","10.07.2015","Москва"
"427","427","Алданзолотобанк","854","отозв.","10.07.2015","Алдан"
"428","428","Еврокапитал-Альянс","3459","ликв.","07.07.2015","Переславль-Залесский"
"429","429","Эно","1988","отозв.","03.07.2015","Краснодар"
"430","430","Клиентский","2324","отозв.","03.07.2015","Москва"
"431","431","Гагаринский","606","отозв.","03.07.2015","Москва"
"432","432","Старый Кремль","2657","отозв.","03.07.2015","Москва"
"433","433","ТЭСТ","3440","отозв.","24.06.2015","Москва"
"434","434","МАСТ-Банк","3267","отозв.","24.06.2015","Москва"
"435","435","МАК-Банк","1088","ликв.","22.06.2015","Москва"
"436","436","Азимут","3154","отозв.","19.06.2015","Москва"
"437","437","Инвестиционный Союз","637","отозв.","19.06.2015","Москва"
"438","438","Петрокоммерц","1776","ликв.","15.06.2015","Москва"
"439","439","Восточно-Европейский Трастовый Банк","2253","ликв.","10.06.2015","Москва"
"440","440","Инвест-Экобанк","1956","отозв.","10.06.2015","Санкт-Петербург"
"441","441","Евроинвест","3383-К","отозв.","10.06.2015","Москва"
"442","442","РСКБ","2050","отозв.","10.06.2015","Москва"
"443","443","Сибнефтебанк","385","отозв.","01.06.2015","Тюмень"
"444","444","ОПМ-Банк","2734","отозв.","01.06.2015","Москва"
"445","445","Метробанк","2548","отозв.","01.06.2015","Москва"
"446","446","Профессионал Банк","2471","отозв.","20.05.2015","Москва"
"447","447","Транспортный","3174","отозв.","20.05.2015","Москва"
